Predictor_Variable,effect,group,term,estimate,std.error,statistic,df,p.value,nobs,sigma,logLik,AIC,BIC,REMLcrit,df.residual
temp_C,fixed,NA,"poly(log(Predictor_Values + 1), degree = 2)1",0.06251995770836878,0.14880362870180913,0.42015076012463315,11.420000761472952,0.6821720540956449,69,0.05576333564925672,87.81172659938343,-165.62345319876687,-154.45292067578058,-175.62345319876687,64
temp_C,fixed,NA,"poly(log(Predictor_Values + 1), degree = 2)2",0.04609184092251946,0.08065973771895732,0.571435541770756,42.316027444275925,0.5707273389399213,69,0.05576333564925672,87.81172659938343,-165.62345319876687,-154.45292067578058,-175.62345319876687,64
temp_C,ran_pars,new_colonynumber,sd__(Intercept),0.0578355902836877,NA,NA,NA,NA,69,0.05576333564925672,87.81172659938343,-165.62345319876687,-154.45292067578058,-175.62345319876687,64
temp_C,ran_pars,Residual,sd__Observation,0.05576333564925672,NA,NA,NA,NA,69,0.05576333564925672,87.81172659938343,-165.62345319876687,-154.45292067578058,-175.62345319876687,64
new_pH,fixed,NA,(Intercept),0.2993903787782113,0.017294464190079822,17.311341680648475,6.467895437684149,1.164002588069836e-6,69,0.055327131857959753,88.82504415492576,-167.65008830985153,-156.47955578686523,-177.65008830985153,64
new_pH,fixed,NA,"poly(log(Predictor_Values + 1), degree = 2)1",-0.13880880470216847,0.06626526831577718,-2.0947444752007334,65.40735907020905,0.04007111050452911,69,0.055327131857959753,88.82504415492576,-167.65008830985153,-156.47955578686523,-177.65008830985153,64
new_pH,fixed,NA,"poly(log(Predictor_Values + 1), degree = 2)2",-0.028892327271059805,0.05809362768850171,-0.4973407311724548,60.762381666845236,0.6207437614677658,69,0.055327131857959753,88.82504415492576,-167.65008830985153,-156.47955578686523,-177.65008830985153,64
new_pH,ran_pars,new_colonynumber,sd__(Intercept),0.04513189683861185,NA,NA,NA,NA,69,0.055327131857959753,88.82504415492576,-167.65008830985153,-156.47955578686523,-177.65008830985153,64
new_pH,ran_pars,Residual,sd__Observation,0.055327131857959753,NA,NA,NA,NA,69,0.055327131857959753,88.82504415492576,-167.65008830985153,-156.47955578686523,-177.65008830985153,64
TA_initial,fixed,NA,(Intercept),0.2990917736980476,0.02148393610203783,13.921646958802752,6.583454781830632,3.969800980373907e-6,69,0.05478773417956571,87.99429079938282,-165.98858159876565,-154.81804907577936,-175.98858159876565,64
TA_initial,fixed,NA,"poly(log(Predictor_Values + 1), degree = 2)1",-0.11631440587342978,0.07355684114707169,-1.5812860375674287,65.79474335226392,0.11860837710719327,69,0.05478773417956571,87.99429079938282,-165.98858159876565,-154.81804907577936,-175.98858159876565,64
TA_initial,fixed,NA,"poly(log(Predictor_Values + 1), degree = 2)2",0.00833549901916565,0.05864837456226634,0.14212668435194126,61.51246601214459,0.8874444327811237,69,0.05478773417956571,87.99429079938282,-165.98858159876565,-154.81804907577936,-175.98858159876565,64
TA_initial,ran_pars,new_colonynumber,sd__(Intercept),0.05782022803369357,NA,NA,NA,NA,69,0.05478773417956571,87.99429079938282,-165.98858159876565,-154.81804907577936,-175.98858159876565,64
TA_initial,ran_pars,Residual,sd__Observation,0.05478773417956571,NA,NA,NA,NA,69,0.05478773417956571,87.99429079938282,-165.98858159876565,-154.81804907577936,-175.98858159876565,64
Salinity,fixed,NA,(Intercept),0.29955232552786804,0.019571798388205254,15.305304069982155,6.880402005448469,1.4400777181444742e-6,69,0.055717249293856866,87.72362772586733,-165.44725545173466,-154.27672292874837,-175.44725545173466,64
Salinity,fixed,NA,"poly(log(Predictor_Values + 1), degree = 2)1",0.09307834249220182,0.07807714277907209,1.192133051738039,64.88778250698509,0.23755074638074034,69,0.055717249293856866,87.72362772586733,-165.44725545173466,-154.27672292874837,-175.44725545173466,64
Salinity,fixed,NA,"poly(log(Predictor_Values + 1), degree = 2)2",-0.00723114184366663,0.06307371104480766,-0.11464589166997984,64.88017997234749,0.909079867735017,69,0.055717249293856866,87.72362772586733,-165.44725545173466,-154.27672292874837,-175.44725545173466,64
Salinity,ran_pars,new_colonynumber,sd__(Intercept),0.05199125734012905,NA,NA,NA,NA,69,0.055717249293856866,87.72362772586733,-165.44725545173466,-154.27672292874837,-175.44725545173466,64
Salinity,ran_pars,Residual,sd__Observation,0.055717249293856866,NA,NA,NA,NA,69,0.055717249293856866,87.72362772586733,-165.44725545173466,-154.27672292874837,-175.44725545173466,64
