Predictor_Variable,effect,group,term,estimate,std.error,statistic,df,p.value,nobs,sigma,logLik,AIC,BIC,REMLcrit,df.residual
temp_C,fixed,NA,"poly(log(Predictor_Values + 1), degree = 2)2",0.20588133628340696,0.1706050600804918,1.2067715704696669,43.98098027708709,0.23397101049322877,69,0.12932050457969307,34.15924833313715,-58.3184966662743,-47.147964143288,-68.3184966662743,64
temp_C,ran_pars,new_colonynumber,sd__(Intercept),0.09445080591681511,NA,NA,NA,NA,69,0.12932050457969307,34.15924833313715,-58.3184966662743,-47.147964143288,-68.3184966662743,64
temp_C,ran_pars,Residual,sd__Observation,0.12932050457969307,NA,NA,NA,NA,69,0.12932050457969307,34.15924833313715,-58.3184966662743,-47.147964143288,-68.3184966662743,64
new_pH,fixed,NA,(Intercept),0.09517536035492856,0.0341731085623371,2.785095192066411,6.82008619377546,0.02782554287522806,69,0.13028700695802048,33.505951357908415,-57.01190271581683,-45.84137019283053,-67.01190271581683,64
new_pH,fixed,NA,"poly(log(Predictor_Values + 1), degree = 2)1",0.22696609721049796,0.15359587632012034,1.4776835332314613,65.99917778018634,0.14424894689264955,69,0.13028700695802048,33.505951357908415,-57.01190271581683,-45.84137019283053,-67.01190271581683,64
new_pH,fixed,NA,"poly(log(Predictor_Values + 1), degree = 2)2",-0.017961867987616436,0.13628803744225823,-0.13179343047790545,61.85213068865453,0.8955754619894521,69,0.13028700695802048,33.505951357908415,-57.01190271581683,-45.84137019283053,-67.01190271581683,64
new_pH,ran_pars,new_colonynumber,sd__(Intercept),0.085844358875984475,NA,NA,NA,NA,69,0.13028700695802048,33.505951357908415,-57.01190271581683,-45.84137019283053,-67.01190271581683,64
new_pH,ran_pars,Residual,sd__Observation,0.13028700695802048,NA,NA,NA,NA,69,0.13028700695802048,33.505951357908415,-57.01190271581683,-45.84137019283053,-67.01190271581683,64
TA_initial,fixed,NA,(Intercept),0.09426847874624147,0.036892745529155405,2.555203669288952,6.944143783744394,0.03807082441863231,69,0.12033748085501356,37.756011787014145,-65.51202357402829,-54.34149105104199,-75.51202357402829,64
TA_initial,fixed,NA,"poly(log(Predictor_Values + 1), degree = 2)1",-0.44553696821561034,0.15724020596850985,-2.833479932637821,65.31179049885645,0.006118731111919814,69,0.12033748085501356,37.756011787014145,-65.51202357402829,-54.34149105104199,-75.51202357402829,64
