Predictor_Variable,effect,group,term,estimate,std.error,statistic,df,p.value,nobs,sigma,logLik,AIC,BIC,REMLcrit,df.residual
new_pH,ran_pars,Residual,sd__Observation,0.08157997318925427,NA,NA,NA,NA,53,0.08157997318925427,49.46152430929391,-88.92304861858781,-79.0715890508272,-98.92304861858781,48
TA_initial,fixed,NA,(Intercept),0.11315857160282286,0.021355024080735825,5.29892034656623,4.686355911437025,0.003869622396970585,53,0.08528155505879659,47.31766301496349,-84.63532602992699,-74.78386646216637,-94.63532602992699,48
TA_initial,fixed,NA,"poly(log(Predictor_Values + 1), degree = 2)1",0.10942512941517746,0.09433717700448115,1.1599364417061113,49.9731917111983,0.25158659034498126,53,0.08528155505879659,47.31766301496349,-84.63532602992699,-74.78386646216637,-94.63532602992699,48
TA_initial,fixed,NA,"poly(log(Predictor_Values + 1), degree = 2)2",-0.07264651379798831,0.0911876756162423,-0.7966703099629019,49.556626247188156,0.4294428089422888,53,0.08528155505879659,47.31766301496349,-84.63532602992699,-74.78386646216637,-94.63532602992699,48
TA_initial,ran_pars,new_colonynumber,sd__(Intercept),0.04372374276639519,NA,NA,NA,NA,53,0.08528155505879659,47.31766301496349,-84.63532602992699,-74.78386646216637,-94.63532602992699,48
TA_initial,ran_pars,Residual,sd__Observation,0.08528155505879659,NA,NA,NA,NA,53,0.08528155505879659,47.31766301496349,-84.63532602992699,-74.78386646216637,-94.63532602992699,48
Salinity,fixed,NA,(Intercept),0.11302732488967576,0.019410332401859905,5.823049422834481,5.0308687626152215,0.00206689376107007,53,0.08518966687252114,47.692710754999894,-85.38542150999979,-75.53396194223917,-95.38542150999979,48
Salinity,fixed,NA,"poly(log(Predictor_Values + 1), degree = 2)1",0.14098761697753265,0.08538565647040089,1.6511861922196065,45.29185300912612,0.10561859425774424,53,0.08518966687252114,47.692710754999894,-85.38542150999979,-75.53396194223917,-95.38542150999979,48
Salinity,fixed,NA,"poly(log(Predictor_Values + 1), degree = 2)2",0.007461031397180666,0.08576122688894007,0.08699772225556693,45.74240749444021,0.9310530513042007,53,0.08518966687252114,47.692710754999894,-85.38542150999979,-75.53396194223917,-95.38542150999979,48
Salinity,ran_pars,new_colonynumber,sd__(Intercept),0.037920973771485185,NA,NA,NA,NA,53,0.08518966687252114,47.692710754999894,-85.38542150999979,-75.53396194223917,-95.38542150999979,48
Salinity,ran_pars,Residual,sd__Observation,0.08518966687252114,NA,NA,NA,NA,53,0.08518966687252114,47.692710754999894,-85.38542150999979,-75.53396194223917,-95.38542150999979,48
