sample_ID,SGD_dil,SGD_number,weight_g,volume_mL,SA_cm2,spc,salinity ,mV,pH,DO_percent,mg_L,temp_C,pH_night,TrisCalDate,phosphate_umolL,silicate_umolL,NN_umolL,ammonia_umolL
Cabral_Col7_Dil2_Dark,2,0.01,21.159,8,70.66146,55.3,36.6,-76.4,8.09,68.6,4.42,27.345,,6/14/23,,,,
Cabral_Col7_Dil3_Dark,3,0.03,23.9089,11,75.89583,55.1,36.5,-76.2,8.08,68,4.36,27.68,,6/14/23,,,,
Cabral_Col7_Dil4_Dark,4,0.05,26.81,13,92.86458,55.2,36.5,-74.9,8.06,67.1,4.3,27.788,,6/14/23,,,,
Cabral_Col7_Dil5_Dark,5,0.1,29.3809,14,115.66667,55.2,36.5,-74.7,8.06,63.1,4.02,27.779,,6/14/23,,,,
Cabral_Col7_Dil6_Dark,6,0.5,19.347,10,58.54167,54.9,36.3,-76.8,8.09,65.8,4.16,27.685,,6/14/23,,,,
Cabral_Col7_Dil7_Dark,7,1,19.8876,10,72.11458,54.7,36.2,-74,8.05,64.8,4.15,27.602,,6/14/23,,,,
Cabral_Col7_Dil8_Dark,8,2,24.2476,14,0,54.4,35.9,-74,8.05,65.7,4.24,27.452,,6/14/23,,,,
Cabral_Col7_Dil9_Dark,9,4,23.3207,12,90.65625,53.3,35.1,-76.1,8.08,64.1,4.15,27.734,,6/14/23,,,,
Cabral_Col8_Dil1_Light,1,0,26.2037,12,97.17708,55.2,36.5,-76.7,8.09,71.9,4.69,27.436,,6/14/23,,,,
Cabral_Col8_Dil2_Light,2,0.01,24.9439,13,110.98438,55.3,36.6,-76.4,8.09,68.6,4.42,27.345,,6/14/23,,,,
Cabral_Col8_Dil3_Light,3,0.03,20.5479,11,94.59375,55.1,36.5,-76.2,8.08,68,4.36,27.68,,6/14/23,,,,
Cabral_Col8_Dil4_Light,4,0.05,27.6969,14,132.83854,55.2,36.5,-74.9,8.06,67.1,4.3,27.788,,6/14/23,,,,
Cabral_Col8_Dil5_Light,5,0.1,22.5343,12,98.33333,55.2,36.5,-74.7,8.06,63.1,4.02,27.779,,6/14/23,,,,
Cabral_Col8_Dil6_Light,6,0.5,16.7954,8,63.46354,54.9,36.3,-76.8,8.09,65.8,4.16,27.685,,6/14/23,,,,
Cabral_Col8_Dil7_Light,7,1,25.7629,13,92.48438,54.7,36.2,-74,8.05,64.8,4.15,27.602,,6/14/23,,,,
Cabral_Col8_Dil8_Light,8,2,29.0183,14,135.30208,54.4,35.9,-74,8.05,65.7,4.24,27.452,,6/14/23,,,,
Cabral_Col8_Dil9_Light,9,4,16.4498,8,61.42708,53.3,35.1,-76.1,8.08,64.1,4.15,27.734,,6/14/23,,,,
Cabral_Col8_Dil1_Dark,1,0,26.2037,12,97.17708,55.2,36.5,-76.7,8.09,71.9,4.69,27.436,,6/14/23,,,,
Cabral_Col8_Dil2_Dark,2,0.01,24.9439,13,110.98438,55.3,36.6,-76.4,8.09,68.6,4.42,27.345,,6/14/23,,,,
Cabral_Col8_Dil3_Dark,3,0.03,20.5479,11,94.59375,55.1,36.5,-76.2,8.08,68,4.36,27.68,,6/14/23,,,,
