new_colonynumber,new_pH,SGD_number,site,salinity,date,light_dark,P_R,umol.cm2.hr,umol.cm2.hr_uncorr
1,7.959322072116411,4,Varari,35.9,6/17/23,LIGHT,NP,0.004042813185630552,0.003586217239365525
2,7.959322072116411,4,Varari,35.9,6/17/23,LIGHT,NP,0.006908495464504623,0.006297819599990944
3,7.959322072116411,4,Varari,35.9,6/17/23,LIGHT,NP,0.005077946585608104,0.004670300801951146
4,7.979925701028673,4,Varari,35.3,6/18/23,LIGHT,NP,0.0032957208796765922,0.003081940767035679
5,8.017619562572271,4,Varari,35,6/21/23,LIGHT,NP,0.004090940790799902,0.0035563348059385333
6,8.017619562572271,4,Varari,35,6/21/23,LIGHT,NP,0.0055021793253711955,0.0051169510002715074
7,7.983610438984103,4,Varari,35.2,6/22/23,LIGHT,NP,0.003405632592718524,0.0030873205677155228
8,7.983610438984103,4,Varari,35.2,6/22/23,LIGHT,NP,0.005533213065898605,0.0051094242929713395
13,7.9667423667133095,0,Cabral,36.6,6/10/23,DARK,R,0.004575372257934486,0.005103680810453678
14,7.9667423667133095,0,Cabral,36.6,6/10/23,DARK,R,0.004716507871780733,0.005371897869572287
15,8.01220931912775,0,Cabral,36.5,6/11/23,DARK,R,0.0046614634639173405,0.005168743139662969
16,8.01220931912775,0,Cabral,36.5,6/11/23,DARK,R,0.0035950048788247245,0.003937088321864251
18,7.976166126704488,0,Cabral,36.3,6/12/23,DARK,R,0.003950441479508321,0.0041817354655192315
17,7.976166126704488,0,Cabral,36.3,6/12/23,DARK,R,0.0034569978147319653,0.0036857857713153766
19,7.978374413609991,0,Cabral,37.1,6/13/23,DARK,R,0,0.004276268532644561
1,7.994816176786985,0,Varari,37.3,6/17/23,DARK,R,0.003871614468710801,0.004958601198929232
2,7.994816176786985,0,Varari,37.3,6/17/23,DARK,R,0.0039212645597572135,0.00498880662977246
3,7.994816176786985,0,Varari,37.3,6/17/23,DARK,R,0.0032269769319889985,0.0039027799827074452
4,8.012340938396102,0,Varari,36.4,6/18/23,DARK,R,0.0037069442167523285,0.004082727147726739
5,8.003307540025963,0,Varari,36.4,6/21/23,DARK,R,0.0033212200996812612,0.005117377392741991
6,8.003307540025963,0,Varari,36.4,6/21/23,DARK,R,0.00340674090512774,0.00473312004602978
7,8.003403585971883,0,Varari,36.4,6/22/23,DARK,R,0.0028963902899004084,0.0034997417709449587
8,8.003403585971883,0,Varari,36.4,6/22/23,DARK,R,0.002666867749286611,0.0031095547130470047
13,7.969949565756469,0.01,Cabral,36.5,6/10/23,DARK,R,0.005005119518038738,0.005394817276692988
14,7.969949565756469,0.01,Cabral,36.5,6/10/23,DARK,R,0.0051237953194289,0.005414964181368579
15,8.008691363505978,0.01,Cabral,36.6,6/11/23,DARK,R,0.0034151980279593934,0.0037215050495314488
16,8.008691363505978,0.01,Cabral,36.6,6/11/23,DARK,R,0.0039612291322466305,0.004156248483772656
18,7.991198618975937,0.01,Cabral,36.6,6/12/23,DARK,R,0.0046961846066744875,0.0052642443214671805
17,7.991198618975937,0.01,Cabral,36.6,6/12/23,DARK,R,0.0033801045956924074,0.004082348904413464
19,7.989464093517257,0.01,Cabral,37.2,6/13/23,DARK,R,0.0015770228100789525,0.0033038450088209857
1,8.021108643952369,0.01,Varari,37.4,6/17/23,DARK,R,0.003928381495655331,0.004483094105447646
2,8.021108643952369,0.01,Varari,37.4,6/17/23,DARK,R,0.0027509241586991325,0.0033691840122933056
3,8.021108643952369,0.01,Varari,37.4,6/17/23,DARK,R,0.0030748933899623384,0.0033758549522321314
4,7.926842748662408,0.01,Varari,36.7,6/18/23,DARK,R,0.004961322945459629,0.005087326251762314
5,8.025282823190116,0.01,Varari,36.4,6/21/23,DARK,R,0.0035217605506006875,0.0042158822118369115
6,8.025282823190116,0.01,Varari,36.4,6/21/23,DARK,R,0.003620870749918317,0.004445675166021872
7,7.981415001385061,0.01,Varari,36.4,6/22/23,DARK,R,0.0030773144256119756,0.0035764641964132495
8,7.981415001385061,0.01,Varari,36.4,6/22/23,DARK,R,0.0027864362590424006,0.003225169281315325
13,7.998755981544369,0.03,Cabral,36.6,6/10/23,DARK,R,0.003910203694535316,0.004084697068841326
14,7.998755981544369,0.03,Cabral,36.6,6/10/23,DARK,R,0.0032053955652133603,0.0033194346100760943
15,8.000333893474183,0.03,Cabral,36.5,6/11/23,DARK,R,0.0030279722332648526,0.0032344800415454633
16,8.000333893474183,0.03,Cabral,36.5,6/11/23,DARK,R,0.0030346882598891556,0.0032003766082134076
18,7.963168174882106,0.03,Cabral,36.4,6/12/23,DARK,R,0.0020322314873857644,0.0023140127421338555
17,7.963168174882106,0.03,Cabral,36.4,6/12/23,DARK,R,0.003042926852025989,0.0034596039654439165
19,7.99844433672177,0.03,Cabral,37.1,6/13/23,DARK,R,0,0.0035813539371988574
1,8.00202544548121,0.03,Varari,37.4,6/17/23,DARK,R,0.002672190333128068,0.0029670663205032927
2,8.00202544548121,0.03,Varari,37.4,6/17/23,DARK,R,0.002400803539428514,0.002915553916727269
3,8.00202544548121,0.03,Varari,37.4,6/17/23,DARK,R,0.0022416785293310868,0.0027154337905863934
4,7.974131192679519,0.03,Varari,36.7,6/18/23,DARK,R,0.003434479154687378,0.0035631651120653653
5,8.03279130797893,0.03,Varari,36.3,6/21/23,DARK,R,0.002992454051716293,0.003304243053395803
6,8.03279130797893,0.03,Varari,36.3,6/21/23,DARK,R,0.0026323936635352587,0.00295624093771637
7,8.023610540861927,0.03,Varari,36.4,6/22/23,DARK,R,0.0023032650992500544,0.0025593773060843634
8,8.023610540861927,0.03,Varari,36.4,6/22/23,DARK,R,0.002145150674388494,0.002326715659333247
13,7.98502490194677,0.05,Cabral,36.5,6/10/23,DARK,R,0.003265580567104665,0.0034287110603237955
14,7.98502490194677,0.05,Cabral,36.5,6/10/23,DARK,R,0.003911028877205366,0.004168848941577913
15,7.977017857607548,0.05,Cabral,36.5,6/11/23,DARK,R,0.003604351292250523,0.003815285114128191
16,7.977017857607548,0.05,Cabral,36.5,6/11/23,DARK,R,0.003974472858006169,0.004121932181436039
18,8.002864299366278,0.05,Cabral,36.6,6/12/23,DARK,R,0.0033667971144319786,0.0036836510201917554
17,8.002864299366278,0.05,Cabral,36.6,6/12/23,DARK,R,0.0031928172894898584,0.003790887264344176
19,8.014082134515686,0.05,Cabral,37.1,6/13/23,DARK,R,5.511095736662274e-4,0.0033640669217000056
1,7.988632309523738,0.05,Varari,37.3,6/17/23,DARK,R,0.004262453652497825,0.004535103152914126
2,7.988632309523738,0.05,Varari,37.3,6/17/23,DARK,R,0.0036638622598890885,0.003978035762381257
3,7.988632309523738,0.05,Varari,37.3,6/17/23,DARK,R,0.003234951782124595,0.0034956320208743576
4,NA,0.05,Varari,36.5,6/18/23,DARK,R,NA,NA
5,8.024526644488331,0.05,Varari,36.3,6/21/23,DARK,R,0.0030770321188528537,0.004098123049626484
6,8.024526644488331,0.05,Varari,36.3,6/21/23,DARK,R,0.004232223269456883,0.005508492457449201
7,8.029750313035391,0.05,Varari,36.4,6/22/23,DARK,R,0.0027580704506073145,0.003189718593874681
8,8.029750313035391,0.05,Varari,36.4,6/22/23,DARK,R,0.002863821332897089,0.00329231270384484
13,7.995809964500741,0.1,Cabral,36.5,6/10/23,DARK,R,0.004879669592663298,0.005037593448813187
14,7.995809964500741,0.1,Cabral,36.5,6/10/23,DARK,R,0.0035361307263230197,0.0036225200907945435
15,7.973796473145285,0.1,Cabral,36.5,6/11/23,DARK,R,0.004130465086024506,0.004306450973998966
16,7.973796473145285,0.1,Cabral,36.5,6/11/23,DARK,R,0.00426683644113129,0.004473843570375825
18,8.00701502282319,0.1,Cabral,36.4,6/12/23,DARK,R,0.0033931731309571277,0.0036601876375545756
17,8.00701502282319,0.1,Cabral,36.4,6/12/23,DARK,R,0.002841162241184614,0.003076175514880117
19,7.969552606728934,0.1,Cabral,37.1,6/13/23,DARK,R,5.622448610137135e-4,0.003394429285371591
1,7.996704635793248,0.1,Varari,37.3,6/17/23,DARK,R,0.003982966522606528,0.004258415110593061
2,7.996704635793248,0.1,Varari,37.3,6/17/23,DARK,R,0.003597376818522341,0.004036173804543096
3,7.996704635793248,0.1,Varari,37.3,6/17/23,DARK,R,0.003294386847946287,0.0035286523264134715
4,7.983888717167578,0.1,Varari,36.6,6/18/23,DARK,R,0.005146676266425353,0.005301770253881487
5,8.028865455729898,0.1,Varari,36.3,6/21/23,DARK,R,0.00310314480107345,0.003586443864964951
6,8.028865455729898,0.1,Varari,36.3,6/21/23,DARK,R,0.003104288262589999,0.003437170662488412
7,8.036250693667167,0.1,Varari,36.5,6/22/23,DARK,R,0.003085573229963821,0.003346744666032574
8,8.036250693667167,0.1,Varari,36.5,6/22/23,DARK,R,0.002681715687952315,0.00291762787284337
13,7.992232149251834,0.5,Cabral,36.4,6/10/23,DARK,R,0.003992018296111528,0.004130494721821835
14,7.992232149251834,0.5,Cabral,36.4,6/10/23,DARK,R,0.003173852438641709,0.0032260075200436513
15,8.0099028783876,0.5,Cabral,36.3,6/11/23,DARK,R,0.0033636737588648756,0.0036138976991324416
16,8.0099028783876,0.5,Cabral,36.3,6/11/23,DARK,R,0.00397708102086754,0.0042078990010569065
18,7.9775039029705335,0.5,Cabral,36.3,6/12/23,DARK,R,0.0028518749361694713,0.0029138667224936268
17,7.9775039029705335,0.5,Cabral,36.3,6/12/23,DARK,R,0.002822092455683638,0.002890684818364482
19,8.010428528647465,0.5,Cabral,36.8,6/13/23,DARK,R,0.00129956922748233,0.0028198798522386026
1,7.996255731191623,0.5,Varari,37.1,6/17/23,DARK,R,0.002926885411984341,0.0033012120312114813
2,7.996255731191623,0.5,Varari,37.1,6/17/23,DARK,R,0.002582214758909452,0.0028624291360881903
3,7.996255731191623,0.5,Varari,37.1,6/17/23,DARK,R,0.0029740976035430577,0.0035250291697988797
4,7.994600755984835,0.5,Varari,36.5,6/18/23,DARK,R,0.00332037374161718,0.003402942111063486
5,8.007009687273362,0.5,Varari,36.2,6/21/23,DARK,R,0.00269399271704995,0.002909935779245283
6,8.007009687273362,0.5,Varari,36.2,6/21/23,DARK,R,0.002669113728203291,0.0030722328675733108
7,8.052272677957419,0.5,Varari,36.3,6/22/23,DARK,R,0.001973239514791361,0.0024192455967821623
