new_colonynumber,sample_ID,SGD_number,site,salinity,date,P_R,umol.cm2.hr,phosphate_umolL,silicate_umolL,NN_umolL,ammonia_umolL,temp_C,new_pH,TA_initial,log_silicate,log_silicate2
5,Varari_Col5_Dil3_Dark,0.03,Varari,36.3,6/21/23,R,0.28729130665358316,0.04,1.93,1.79,7.35,29.115,8.032791308,NA,1.0750024230289759,1.1556302095181692
6,Varari_Col6_Dil3_Dark,0.03,Varari,36.3,6/21/23,R,0.25272611618985796,0.04,1.93,1.79,7.35,29.115,8.032791308,NA,1.0750024230289759,1.1556302095181692
7,Varari_Col7_Dil3_Dark,0.03,Varari,36.4,6/22/23,R,0.2211134331701193,0.11,2.39,0.83,1.67,28.492,8.023610541,NA,1.220829921392359,1.4904256969668734
8,Varari_Col8_Dil3_Dark,0.03,Varari,36.4,6/22/23,R,0.20593446648884395,0.11,2.39,0.83,1.67,28.492,8.023610541,NA,1.220829921392359,1.4904256969668734
13,Cabral_Col5_Dil4_Dark,0.05,Cabral,36.5,6/10/23,R,0.31348971347899157,0.05,3.13,3.25,0.76,27.108,7.985024902,NA,1.4182774069729414,2.0115108031298905
14,Cabral_Col6_Dil4_Dark,0.05,Cabral,36.5,6/10/23,R,0.3754492553878021,0.05,3.13,3.25,0.76,27.108,7.985024902,NA,1.4182774069729414,2.0115108031298905
15,Cabral_Col7_Dil4_Dark,0.05,Cabral,36.5,6/11/23,R,0.34600821478759713,0.03,3.79,0.14,0.86,27.788,7.977017858,NA,1.5665304114228238,2.4540175299125617
16,Cabral_Col8_Dil4_Dark,0.05,Cabral,36.5,6/11/23,R,0.38154272869304345,0.03,3.79,0.14,0.86,27.788,7.977017858,NA,1.5665304114228238,2.4540175299125617
18,Cabral_Col10_Dil4_Dark,0.05,Cabral,36.6,6/12/23,R,0.32321250452580047,0.04,4.14,0.86,2.16,28.219,8.002864299,NA,1.6370530794670737,2.679942784992629
17,Cabral_Col9_Dil4_Dark,0.05,Cabral,36.6,6/12/23,R,0.3065104751131221,0.04,4.14,0.86,2.16,28.219,8.002864299,NA,1.6370530794670737,2.679942784992629
1,Varari_Col1_Dil4_Dark,0.05,Varari,37.3,6/17/23,R,0.40919554420694376,0.08,4.82,1.87,3.32,27.795,7.98863231,NA,1.7613002617433464,3.102178612017181
2,Varari_Col2_Dil4_Dark,0.05,Varari,37.3,6/17/23,R,0.3517307792913725,0.08,4.82,1.87,3.32,27.795,7.98863231,NA,1.7613002617433464,3.102178612017181
3,Varari_Col3_Dil4_Dark,0.05,Varari,37.3,6/17/23,R,0.31055537904357006,0.08,4.82,1.87,3.32,27.795,7.98863231,NA,1.7613002617433464,3.102178612017181
5,Varari_Col5_Dil4_Dark,0.05,Varari,36.3,6/21/23,R,0.29539506993950204,0.04,1.86,0.28,0.22,29.11,8.024526644,NA,1.0508216248317612,1.1042260872140628
6,Varari_Col6_Dil4_Dark,0.05,Varari,36.3,6/21/23,R,0.4062934035106793,0.04,1.86,0.28,0.22,29.11,8.024526644,NA,1.0508216248317612,1.1042260872140628
7,Varari_Col7_Dil4_Dark,0.05,Varari,36.4,6/22/23,R,0.26477476147117246,0.06,2.24,0.47,2.25,27.717,8.029750313,NA,1.1755733298042381,1.381972653747024
8,Varari_Col8_Dil4_Dark,0.05,Varari,36.4,6/22/23,R,0.2749268465663405,0.06,2.24,0.47,2.25,27.717,8.029750313,NA,1.1755733298042381,1.381972653747024
13,Cabral_Col5_Dil5_Dark,0.1,Cabral,36.5,6/10/23,R,0.46846154182188454,0.06,5.23,0.17,0.43,27.058,7.995809965,NA,1.8293763327993617,3.346617767006441
14,Cabral_Col6_Dil5_Dark,0.1,Cabral,36.5,6/10/23,R,0.33947581262729126,0.06,5.23,0.17,0.43,27.058,7.995809965,NA,1.8293763327993617,3.346617767006441
15,Cabral_Col7_Dil5_Dark,0.1,Cabral,36.5,6/11/23,R,0.3965267761784791,0.03,4.33,0.45,0.95,27.779,7.973796473,NA,1.673351238177753,2.8001043663110194
16,Cabral_Col8_Dil5_Dark,0.1,Cabral,36.5,6/11/23,R,0.40961882367250246,0.03,4.33,0.45,0.95,27.779,7.973796473,NA,1.673351238177753,2.8001043663110194
18,Cabral_Col10_Dil5_Dark,0.1,Cabral,36.4,6/12/23,R,0.325745432727523,0.04,3.67,0.51,12.78,28.251,8.007015023,NA,1.541159071680806,2.3751712842240433
17,Cabral_Col9_Dil5_Dark,0.1,Cabral,36.4,6/12/23,R,0.2727522878390256,0.04,3.67,0.51,12.78,28.251,8.007015023,NA,1.541159071680806,2.3751712842240433
1,Varari_Col1_Dil5_Dark,0.1,Varari,37.3,6/17/23,R,0.38235593125156825,0.05,5.27,2.5,6.31,27.816,7.996704636,NA,1.8357763546448294,3.3700748242730585
2,Varari_Col2_Dil5_Dark,0.1,Varari,37.3,6/17/23,R,0.345334101150669,0.05,5.27,2.5,6.31,27.816,7.996704636,NA,1.8357763546448294,3.3700748242730585
3,Varari_Col3_Dil5_Dark,0.1,Varari,37.3,6/17/23,R,0.31625360402061975,0.05,5.27,2.5,6.31,27.816,7.996704636,NA,1.8357763546448294,3.3700748242730585
4,Varari_Col4_Dil5_Dark,0.1,Varari,36.6,6/18/23,R,0.4940967969236701,0.03,3.33,3.14,4.89,28.728,7.983888717,NA,1.4655675420143985,2.147888220206126
5,Varari_Col5_Dil5_Dark,0.1,Varari,36.3,6/21/23,R,0.29790190425442026,0.27,2.63,1.32,9.69,29.156,8.028865456,NA,1.2892326482767593,1.6621208213827061
6,Varari_Col6_Dil5_Dark,0.1,Varari,36.3,6/21/23,R,0.29801167867452927,0.27,2.63,1.32,9.69,29.156,8.028865456,NA,1.2892326482767593,1.6621208213827061
7,Varari_Col7_Dil5_Dark,0.1,Varari,36.5,6/22/23,R,0.29620031940588415,0.05,2.68,0.7,3.11,27.629,8.036250694,NA,1.3029127521808397,1.6975816397954502
8,Varari_Col8_Dil5_Dark,0.1,Varari,36.5,6/22/23,R,0.2574314210361367,0.05,2.68,0.7,3.11,27.629,8.036250694,NA,1.3029127521808397,1.6975816397954502
13,Cabral_Col5_Dil6_Dark,0.5,Cabral,36.4,6/10/23,R,0.38325536191616766,0.13,6.59,0.4,2,27.294,7.992232149,NA,2.0268315914075385,4.108046299927615
14,Cabral_Col6_Dil6_Dark,0.5,Cabral,36.4,6/10/23,R,0.30469795982029774,0.13,6.59,0.4,2,27.294,7.992232149,NA,2.0268315914075385,4.108046299927615
15,Cabral_Col7_Dil6_Dark,0.5,Cabral,36.3,6/11/23,R,0.3229112801189307,0.04,6.59,0.6,8.48,27.685,8.009902878,NA,2.0268315914075385,4.108046299927615
16,Cabral_Col8_Dil6_Dark,0.5,Cabral,36.3,6/11/23,R,0.38179851695635,0.04,6.59,0.6,8.48,27.685,8.009902878,NA,2.0268315914075385,4.108046299927615
18,Cabral_Col10_Dil6_Dark,0.5,Cabral,36.3,6/12/23,R,0.27378496789457485,0.04,6.04,0.37,2.01,28.313,7.977503903,NA,1.951608170169951,3.8087744498741047
17,Cabral_Col9_Dil6_Dark,0.5,Cabral,36.3,6/12/23,R,0.2709263664788914,0.04,6.04,0.37,2.01,28.313,7.977503903,NA,1.951608170169951,3.8087744498741047
1,Varari_Col1_Dil6_Dark,0.5,Varari,37.1,6/17/23,R,0.2809810383600488,0.05,7.07,2.23,4.4,27.818,7.996255731,NA,2.0881534822818573,4.360384965565847
2,Varari_Col2_Dil6_Dark,0.5,Varari,37.1,6/17/23,R,0.2478926189114004,0.05,7.07,2.23,4.4,27.818,7.996255731,NA,2.0881534822818573,4.360384965565847
3,Varari_Col3_Dil6_Dark,0.5,Varari,37.1,6/17/23,R,0.2855133720158227,0.05,7.07,2.23,4.4,27.818,7.996255731,NA,2.0881534822818573,4.360384965565847
4,Varari_Col4_Dil6_Dark,0.5,Varari,36.5,6/18/23,R,0.3187453600567997,0.02,4.82,2.84,1.24,28.782,7.994600756,NA,1.7613002617433464,3.102178612017181
5,Varari_Col5_Dil6_Dark,0.5,Varari,36.2,6/21/23,R,0.25862329593862315,0.05,4.94,0.29,5.38,29.155,8.007009687,NA,1.7817091333745536,3.174487435950303
6,Varari_Col6_Dil6_Dark,0.5,Varari,36.2,6/21/23,R,0.2562349267771463,0.05,4.94,0.29,5.38,29.155,8.007009687,NA,1.7817091333745536,3.174487435950303
7,Varari_Col7_Dil6_Dark,0.5,Varari,36.3,6/22/23,R,0.1894309865957238,0.08,5.11,0.76,2.35,27.767,8.052272678,NA,1.809926773183504,3.275834924286451
8,Varari_Col8_Dil6_Dark,0.5,Varari,36.3,6/22/23,R,0.07519531532899222,0.08,5.11,0.76,2.35,27.767,8.052272678,NA,1.809926773183504,3.275834924286451
13,Cabral_Col5_Dil7_Dark,1,Cabral,36.1,6/10/23,R,0.44537754005558267,0.09,8.39,0.06,0.31,27.269,7.983581663,NA,2.2396452932201716,5.016011039443268
14,Cabral_Col6_Dil7_Dark,1,Cabral,36.1,6/10/23,R,0.33863626460514124,0.09,8.39,0.06,0.31,27.269,7.983581663,NA,2.2396452932201716,5.016011039443268
15,Cabral_Col7_Dil7_Dark,1,Cabral,36.2,6/11/23,R,0.3385238009844888,0.05,9.41,0.46,10.63,27.602,7.963967371,NA,2.3427668826268775,5.488556666333258
16,Cabral_Col8_Dil7_Dark,1,Cabral,36.2,6/11/23,R,0.34171293025697963,0.05,9.41,0.46,10.63,27.602,7.963967371,NA,2.3427668826268775,5.488556666333258
18,Cabral_Col10_Dil7_Dark,1,Cabral,36.1,6/12/23,R,0.18628175464147356,0.06,9.83,0.31,0.96,28.899,7.982119028,NA,2.382320061012899,5.675448873104504
17,Cabral_Col9_Dil7_Dark,1,Cabral,36.1,6/12/23,R,0.20407739961678148,0.06,9.83,0.31,0.96,28.899,7.982119028,NA,2.382320061012899,5.675448873104504
1,Varari_Col1_Dil7_Dark,1,Varari,37,6/17/23,R,0.349321196843505,0.07,10.06,2.58,1.99,27.829,7.987516818,NA,2.403334996094189,5.7760191034510555
2,Varari_Col2_Dil7_Dark,1,Varari,37,6/17/23,R,0.2855833563823587,0.07,10.06,2.58,1.99,27.829,7.987516818,NA,2.403334996094189,5.7760191034510555
3,Varari_Col3_Dil7_Dark,1,Varari,37,6/17/23,R,0.28973247565199517,0.07,10.06,2.58,1.99,27.829,7.987516818,NA,2.403334996094189,5.7760191034510555
4,Varari_Col4_Dil7_Dark,1,Varari,36.1,6/18/23,R,0.4280979126738101,0.04,8.07,1.08,0.48,28.788,8.015414786,NA,2.2049722641270453,4.861902685569548
5,Varari_Col5_Dil7_Dark,1,Varari,36,6/21/23,R,0.3106520346787065,0.2,5.55,3.05,15.29,29.13,8.001972866,NA,1.8794650496471605,3.5323888728452038
6,Varari_Col6_Dil7_Dark,1,Varari,36,6/21/23,R,0.15929313468130357,0.2,5.55,3.05,15.29,29.13,8.001972866,NA,1.8794650496471605,3.5323888728452038
7,Varari_Col7_Dil7_Dark,1,Varari,36,6/22/23,R,0.21714719038672203,0.08,6.75,0.86,0.98,27.83,8.074193563,NA,2.0476928433652555,4.193045980769285
13,Cabral_Col5_Dil8_Dark,2,Cabral,35.9,6/10/23,R,0.3749225282000595,0.09,15.42,0.24,0.88,26.909,7.998371579,NA,2.7985001040242823,7.831602832223918
14,Cabral_Col6_Dil8_Dark,2,Cabral,35.9,6/10/23,R,0.44593082678800783,0.09,15.42,0.24,0.88,26.909,7.998371579,NA,2.7985001040242823,7.831602832223918
16,Cabral_Col8_Dil8_Dark,2,Cabral,35.9,6/11/23,R,0.4393813801650353,0.06,13.9,0.17,23.37,27.452,7.965480921,NA,2.7013612129514133,7.297352402838331
18,Cabral_Col10_Dil8_Dark,2,Cabral,35.8,6/12/23,R,0.32809478039790324,0.04,15.57,0.24,2.42,28.199,7.991501772,NA,2.8075938314384716,7.882583122331357
17,Cabral_Col9_Dil8_Dark,2,Cabral,35.8,6/12/23,R,0.33643719826713375,0.04,15.57,0.24,2.42,28.199,7.991501772,NA,2.8075938314384716,7.882583122331357
1,Varari_Col1_Dil8_Dark,2,Varari,36.6,6/17/23,R,0.38444545699611854,0.09,13.55,2.78,3.81,27.793,7.9938993,NA,2.6775909936175015,7.169493529101559
2,Varari_Col2_Dil8_Dark,2,Varari,36.6,6/17/23,R,0.36309972885069025,0.09,13.55,2.78,3.81,27.793,7.9938993,NA,2.6775909936175015,7.169493529101559
3,Varari_Col3_Dil8_Dark,2,Varari,36.6,6/17/23,R,0.2500762664984815,0.09,13.55,2.78,3.81,27.793,7.9938993,NA,2.6775909936175015,7.169493529101559
4,Varari_Col4_Dil8_Dark,2,Varari,36,6/18/23,R,0.4977915435091843,0.07,13.59,3.54,1.73,28.741,7.987511582,NA,2.6803363625346943,7.184203016325716
5,Varari_Col5_Dil8_Dark,2,Varari,35.9,6/21/23,R,0.29844290734661905,0.07,9.9,1.02,5.44,28.909,8.019957013,NA,2.388762789235098,5.706187663234245
6,Varari_Col6_Dil8_Dark,2,Varari,35.9,6/21/23,R,0.2567874814064752,0.07,9.9,1.02,5.44,28.909,8.019957013,NA,2.388762789235098,5.706187663234245
7,Varari_Col7_Dil8_Dark,2,Varari,36,6/22/23,R,0.2529892569808948,0.09,11.23,1.13,1.51,27.54,8.014719841,NA,2.503891949699081,6.269474895767865
8,Varari_Col8_Dil8_Dark,2,Varari,36,6/22/23,R,0.18844443783507608,0.09,11.23,1.13,1.51,27.54,8.014719841,NA,2.503891949699081,6.269474895767865
13,Cabral_Col5_Dil9_Dark,4,Cabral,35.2,6/10/23,R,0.4657231282379618,0.12,24.72,0.04,0.39,27.163,7.99836625,NA,3.2472688993694185,10.544755304811876
14,Cabral_Col6_Dil9_Dark,4,Cabral,35.2,6/10/23,R,0.5046852562898263,0.12,24.72,0.04,0.39,27.163,7.99836625,NA,3.2472688993694185,10.544755304811876
15,Cabral_Col7_Dil9_Dark,4,Cabral,35.1,6/11/23,R,0.3025432315234747,0.06,23.61,1.31,18.74,27.734,7.995066862,NA,3.2031528644029645,10.260188272732917
16,Cabral_Col8_Dil9_Dark,4,Cabral,35.1,6/11/23,R,0.3496787157455637,0.06,23.61,1.31,18.74,27.734,7.995066862,NA,3.2031528644029645,10.260188272732917
18,Cabral_Col10_Dil9_Dark,4,Cabral,35.1,6/12/23,R,0.2806269338097431,0.07,25.7,0.32,1.99,28.389,8.004134508,NA,3.2846635654062037,10.789014737906994
17,Cabral_Col9_Dil9_Dark,4,Cabral,35.1,6/12/23,R,0.2826607495385286,0.07,25.7,0.32,1.99,28.389,8.004134508,NA,3.2846635654062037,10.789014737906994
1,Varari_Col1_Dil9_Dark,4,Varari,35.9,6/17/23,R,0.3188570056139496,0.13,22.86,3.21,5.31,27.887,7.959322072,NA,3.17220341666977,10.062874516731362
2,Varari_Col2_Dil9_Dark,4,Varari,35.9,6/17/23,R,0.3069604468393688,0.13,22.86,3.21,5.31,27.887,7.959322072,NA,3.17220341666977,10.062874516731362
3,Varari_Col3_Dil9_Dark,4,Varari,35.9,6/17/23,R,0.22632956378634927,0.13,22.86,3.21,5.31,27.887,7.959322072,NA,3.17220341666977,10.062874516731362
4,Varari_Col4_Dil9_Dark,4,Varari,35.3,6/18/23,R,0.34650129193638013,1.07,18.09,4.47,22.62,28.826,7.979925701,NA,2.949164637737656,8.69757206048228
5,Varari_Col5_Dil9_Dark,4,Varari,35,6/21/23,R,0.2742863991709066,0.07,19.77,3.24,3.75,29.067,8.017619563,NA,3.033509637888021,9.202180723159513
6,Varari_Col6_Dil9_Dark,4,Varari,35,6/21/23,R,0.26010932410399346,0.07,19.77,3.24,3.75,29.067,8.017619563,NA,3.033509637888021,9.202180723159513
7,Varari_Col7_Dil9_Dark,4,Varari,35.2,6/22/23,R,0.2188076383674454,0.12,21.43,2.05,9.87,27.611,7.983610439,NA,3.110399348532117,9.674584107349018
8,Varari_Col8_Dil9_Dark,4,Varari,35.2,6/22/23,R,0.29618802165687064,0.12,21.43,2.05,9.87,27.611,7.983610439,NA,3.110399348532117,9.674584107349018
