Fragment_Type,Site ,Colony_Number ,Fragment_Number,Dilution_percentSGD,Person_Measuring,Weight_before_wax,Weight_after_wax
Post_exp,Varari ,6,2,0.01,Hannah ,16.6338,17.602
Post_exp,Varari ,6,3,0.03,Hannah ,19.295,20.5482
Post_exp,Varari ,6,4,0.05,Hannah ,15.5725,16.624
Post_exp,Varari ,6,5,0.1,Hannah ,26.1319,28.158
Post_exp,Varari ,6,6,0.5,Hannah ,26.6088,27.8819
Post_exp,Varari ,6,7,1,Hannah ,17.4999,18.3975
Post_exp,Varari ,6,8,2,Hannah ,19.9363,21.1393
Post_exp,Varari ,6,9,4,Hannah ,22.9699,24.8596
Post_exp,Varari ,7,1,0,Hannah ,22.4449,23.8448
Post_exp,Varari ,7,2,0.01,Hannah ,25.1443,27.0263
Post_exp,Varari ,7,3,0.03,Hannah ,36.0631,38.266
Post_exp,Varari ,7,4,0.05,Hannah ,26.9989,29.0871
Post_exp,Varari ,7,5,0.1,Hannah ,21.4893,22.8927
Post_exp,Varari ,7,6,0.5,Hannah ,22.3328,23.5343
Post_exp,Varari ,7,7,1,Hannah ,22.9663,24.2384
Post_exp,Varari ,7,8,2,Hannah ,31.9064,33.8619
Post_exp,Varari ,7,9,4,Hannah ,36.0579,38.2131
Post_exp,Varari ,8,1,0,Hannah ,26.1967,28.1153
Post_exp,Varari ,8,2,0.01,Hannah ,29.2357,31.3809
Post_exp,Varari ,8,3,0.03,Hannah ,36.7845,39.9039
Post_exp,Varari ,8,4,0.05,Hannah ,30.2097,32.3135
Post_exp,Varari ,8,5,0.1,Hannah ,22.4056,23.9624
Post_exp,Varari ,8,6,0.5,Hannah ,24.1318,28.6858
Post_exp,Varari ,8,7,1,Hannah ,27.0498,25.6246
Post_exp,Varari ,8,8,2,Hannah ,28.9338,31.0942
Post_exp,Varari ,8,9,4,Hannah ,25.624,27.2355
