new_colonynumber,pH,sample_ID,SGD_number,site,salinity,date,light_dark,P_R,umol.cm2.hr,umol.cm2.hr_uncorr,phosphate_umolL,silicate_umolL,NN_umolL,ammonia_umolL
3,8.06,Varari_Col3_Dil4_Light,0.05,Varari,37.3,6/17/23,LIGHT,NP,0.3567552317457728,0.331427542629758,0.08,4.82,1.87,3.32
4,8.06,Varari_Col4_Dil4_Light,0.05,Varari,36.5,6/18/23,LIGHT,NP,Inf,Inf,0.06,2.89,1.63,0.79
5,8.11,Varari_Col5_Dil4_Light,0.05,Varari,36.3,6/21/23,LIGHT,NP,0.46909969416920394,0.3865724277534723,0.04,1.86,0.28,0.22
6,8.11,Varari_Col6_Dil4_Light,0.05,Varari,36.3,6/21/23,LIGHT,NP,0.9946501620279422,0.8914987135435447,0.04,1.86,0.28,0.22
7,8.1,Varari_Col7_Dil4_Light,0.05,Varari,36.4,6/22/23,LIGHT,NP,0.5190378575259456,0.47841415119810676,0.06,2.24,0.47,2.25
8,8.1,Varari_Col8_Dil4_Light,0.05,Varari,36.4,6/22/23,LIGHT,NP,0.46272096998545614,0.42239435700026756,0.06,2.24,0.47,2.25
13,8.07,Cabral_Col5_Dil5_Light,0.1,Cabral,36.5,6/10/23,LIGHT,NP,0.4229616176638163,0.4025604985343304,0.06,5.23,0.17,0.43
14,8.07,Cabral_Col6_Dil5_Light,0.1,Cabral,36.5,6/10/23,LIGHT,NP,0.47576322471676474,0.4646031641860723,0.06,5.23,0.17,0.43
15,8.06,Cabral_Col7_Dil5_Light,0.1,Cabral,36.5,6/11/23,LIGHT,NP,0.45728418617426886,0.44137185144548124,0.03,4.33,0.45,0.95
16,8.06,Cabral_Col8_Dil5_Light,0.1,Cabral,36.5,6/11/23,LIGHT,NP,0.3684566755562728,0.3497394535319174,0.03,4.33,0.45,0.95
18,8.1,Cabral_Col10_Dil5_Light,0.1,Cabral,36.4,6/12/23,LIGHT,NP,0.5233348440788429,0.49081073145572646,0.04,3.67,0.51,12.78
17,8.1,Cabral_Col9_Dil5_Light,0.1,Cabral,36.4,6/12/23,LIGHT,NP,0.4726463657632525,0.44402021259217817,0.04,3.67,0.51,12.78
1,8.07,Varari_Col1_Dil5_Light,0.1,Varari,37.3,6/17/23,LIGHT,NP,0.43843824851530055,0.4103902775439838,0.05,5.27,2.5,6.31
2,8.07,Varari_Col2_Dil5_Light,0.1,Varari,37.3,6/17/23,LIGHT,NP,0.6983529189988639,0.653671745928574,0.05,5.27,2.5,6.31
3,8.07,Varari_Col3_Dil5_Light,0.1,Varari,37.3,6/17/23,LIGHT,NP,0.5508072043259767,0.5269527654909973,0.05,5.27,2.5,6.31
4,8.07,Varari_Col4_Dil5_Light,0.1,Varari,36.6,6/18/23,LIGHT,NP,0.22615847650653306,0.2119155212184484,0.03,3.33,3.14,4.89
5,8.12,Varari_Col5_Dil5_Light,0.1,Varari,36.3,6/21/23,LIGHT,NP,0.2561754065494553,0.20001968848118146,0.27,2.63,1.32,9.69
6,8.12,Varari_Col6_Dil5_Light,0.1,Varari,36.3,6/21/23,LIGHT,NP,0.6257878543582729,0.5871094233211386,0.27,2.63,1.32,9.69
7,8.11,Varari_Col7_Dil5_Light,0.1,Varari,36.5,6/22/23,LIGHT,NP,0.4476500559401644,0.4210110327024878,0.05,2.68,0.7,3.11
8,8.11,Varari_Col8_Dil5_Light,0.1,Varari,36.5,6/22/23,LIGHT,NP,0.3185269383923768,0.29446431305338017,0.05,2.68,0.7,3.11
13,8.07,Cabral_Col5_Dil6_Light,0.5,Cabral,36.4,6/10/23,LIGHT,NP,0.3977738223319793,0.3711187958486132,0.13,6.59,0.4,2
14,8.07,Cabral_Col6_Dil6_Light,0.5,Cabral,36.4,6/10/23,LIGHT,NP,0.27357768470147303,0.2635384663371922,0.13,6.59,0.4,2
15,8.09,Cabral_Col7_Dil6_Light,0.5,Cabral,36.3,6/11/23,LIGHT,NP,0.26544242020509273,0.24566880248513906,0.04,6.59,0.6,8.48
16,8.09,Cabral_Col8_Dil6_Light,0.5,Cabral,36.3,6/11/23,LIGHT,NP,0.2817879216606953,0.2635478328905498,0.04,6.59,0.6,8.48
18,8.07,Cabral_Col10_Dil6_Light,0.5,Cabral,36.3,6/12/23,LIGHT,NP,0.3187415139237002,0.30518909653208187,0.04,6.04,0.37,2.01
17,8.07,Cabral_Col9_Dil6_Light,0.5,Cabral,36.3,6/12/23,LIGHT,NP,0.4074704416790543,0.39247503062180367,0.04,6.04,0.37,2.01
1,8.07,Varari_Col1_Dil6_Light,0.5,Varari,37.1,6/17/23,LIGHT,NP,0.2950276799066215,0.26368236224311614,0.05,7.07,2.23,4.4
2,8.07,Varari_Col2_Dil6_Light,0.5,Varari,37.1,6/17/23,LIGHT,NP,0.4297989747031459,0.40633441885986565,0.05,7.07,2.23,4.4
3,8.07,Varari_Col3_Dil6_Light,0.5,Varari,37.1,6/17/23,LIGHT,NP,0.5068784201373742,0.46074458359584225,0.05,7.07,2.23,4.4
4,8.08,Varari_Col4_Dil6_Light,0.5,Varari,36.5,6/18/23,LIGHT,NP,0.23417530511441442,0.22489490406789397,0.02,4.82,2.84,1.24
5,8.09,Varari_Col5_Dil6_Light,0.5,Varari,36.2,6/21/23,LIGHT,NP,0.27233213586700006,0.2504376324150797,0.05,4.94,0.29,5.38
6,8.09,Varari_Col6_Dil6_Light,0.5,Varari,36.2,6/21/23,LIGHT,NP,0.5211711300778618,0.4802988100846904,0.05,4.94,0.29,5.38
7,8.12,Varari_Col7_Dil6_Light,0.5,Varari,36.3,6/22/23,LIGHT,NP,0.38298071159946434,0.3396241153880072,0.08,5.11,0.76,2.35
8,8.12,Varari_Col8_Dil6_Light,0.5,Varari,36.3,6/22/23,LIGHT,NP,0.10585039215502272,0.09420740527559976,0.08,5.11,0.76,2.35
13,8.06,Cabral_Col5_Dil7_Light,1,Cabral,36.1,6/10/23,LIGHT,NP,0.35350590883172966,0.33949350630661224,0.09,8.39,0.06,0.31
14,8.06,Cabral_Col6_Dil7_Light,1,Cabral,36.1,6/10/23,LIGHT,NP,0.35724517421801727,0.34487440798919755,0.09,8.39,0.06,0.31
